start_time,end_time,start_time_iso,end_time_iso,project_id,num_model_requests,user_id,api_key_id,model,batch,service_tier,input_tokens,output_tokens,input_cached_tokens,input_uncached_tokens,input_text_tokens,output_text_tokens,input_cached_text_tokens,input_audio_tokens,input_cached_audio_tokens,output_audio_tokens,input_image_tokens,input_cached_image_tokens,output_image_tokens
1761100680,1761100740,2025-10-22T02:38:00+00:00,2025-10-22T02:39:00+00:00,,,,,,,,,,,,,,,,,,,,
1761100740,1761100800,2025-10-22T02:39:00+00:00,2025-10-22T02:40:00+00:00,,,,,,,,,,,,,,,,,,,,
1761100800,1761100860,2025-10-22T02:40:00+00:00,2025-10-22T02:41:00+00:00,,,,,,,,,,,,,,,,,,,,
1761100860,1761100920,2025-10-22T02:41:00+00:00,2025-10-22T02:42:00+00:00,,,,,,,,,,,,,,,,,,,,
1761100920,1761100980,2025-10-22T02:42:00+00:00,2025-10-22T02:43:00+00:00,,,,,,,,,,,,,,,,,,,,
1761100980,1761101040,2025-10-22T02:43:00+00:00,2025-10-22T02:44:00+00:00,,,,,,,,,,,,,,,,,,,,
1761101040,1761101100,2025-10-22T02:44:00+00:00,2025-10-22T02:45:00+00:00,,,,,,,,,,,,,,,,,,,,
1761101100,1761101160,2025-10-22T02:45:00+00:00,2025-10-22T02:46:00+00:00,,,,,,,,,,,,,,,,,,,,
1761101160,1761101220,2025-10-22T02:46:00+00:00,2025-10-22T02:47:00+00:00,,,,,,,,,,,,,,,,,,,,
1761101220,1761101280,2025-10-22T02:47:00+00:00,2025-10-22T02:48:00+00:00,,,,,,,,,,,,,,,,,,,,
1761101280,1761101340,2025-10-22T02:48:00+00:00,2025-10-22T02:49:00+00:00,,,,,,,,,,,,,,,,,,,,
1761101340,1761101400,2025-10-22T02:49:00+00:00,2025-10-22T02:50:00+00:00,,,,,,,,,,,,,,,,,,,,
1761101400,1761101460,2025-10-22T02:50:00+00:00,2025-10-22T02:51:00+00:00,,,,,,,,,,,,,,,,,,,,
1761101460,1761101520,2025-10-22T02:51:00+00:00,2025-10-22T02:52:00+00:00,,,,,,,,,,,,,,,,,,,,
1761101520,1761101580,2025-10-22T02:52:00+00:00,2025-10-22T02:53:00+00:00,,,,,,,,,,,,,,,,,,,,
1761101580,1761101640,2025-10-22T02:53:00+00:00,2025-10-22T02:54:00+00:00,,,,,,,,,,,,,,,,,,,,
1761101640,1761101700,2025-10-22T02:54:00+00:00,2025-10-22T02:55:00+00:00,,,,,,,,,,,,,,,,,,,,
1761101700,1761101760,2025-10-22T02:55:00+00:00,2025-10-22T02:56:00+00:00,,,,,,,,,,,,,,,,,,,,
1761101760,1761101820,2025-10-22T02:56:00+00:00,2025-10-22T02:57:00+00:00,,,,,,,,,,,,,,,,,,,,
1761101820,1761101880,2025-10-22T02:57:00+00:00,2025-10-22T02:58:00+00:00,,,,,,,,,,,,,,,,,,,,
1761101880,1761101940,2025-10-22T02:58:00+00:00,2025-10-22T02:59:00+00:00,,,,,,,,,,,,,,,,,,,,
1761101940,1761102000,2025-10-22T02:59:00+00:00,2025-10-22T03:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1761102000,1761102060,2025-10-22T03:00:00+00:00,2025-10-22T03:01:00+00:00,,,,,,,,,,,,,,,,,,,,
1761102060,1761102120,2025-10-22T03:01:00+00:00,2025-10-22T03:02:00+00:00,,,,,,,,,,,,,,,,,,,,
1761102120,1761102180,2025-10-22T03:02:00+00:00,2025-10-22T03:03:00+00:00,,,,,,,,,,,,,,,,,,,,
1761102180,1761102240,2025-10-22T03:03:00+00:00,2025-10-22T03:04:00+00:00,,,,,,,,,,,,,,,,,,,,
1761102240,1761102300,2025-10-22T03:04:00+00:00,2025-10-22T03:05:00+00:00,,,,,,,,,,,,,,,,,,,,
1761102300,1761102360,2025-10-22T03:05:00+00:00,2025-10-22T03:06:00+00:00,,,,,,,,,,,,,,,,,,,,
1761102360,1761102420,2025-10-22T03:06:00+00:00,2025-10-22T03:07:00+00:00,,,,,,,,,,,,,,,,,,,,
1761102420,1761102480,2025-10-22T03:07:00+00:00,2025-10-22T03:08:00+00:00,,,,,,,,,,,,,,,,,,,,
1761102480,1761102540,2025-10-22T03:08:00+00:00,2025-10-22T03:09:00+00:00,,,,,,,,,,,,,,,,,,,,
1761102540,1761102600,2025-10-22T03:09:00+00:00,2025-10-22T03:10:00+00:00,,,,,,,,,,,,,,,,,,,,
1761102600,1761102660,2025-10-22T03:10:00+00:00,2025-10-22T03:11:00+00:00,,,,,,,,,,,,,,,,,,,,
1761102660,1761102720,2025-10-22T03:11:00+00:00,2025-10-22T03:12:00+00:00,,,,,,,,,,,,,,,,,,,,
1761102720,1761102780,2025-10-22T03:12:00+00:00,2025-10-22T03:13:00+00:00,,,,,,,,,,,,,,,,,,,,
1761102780,1761102840,2025-10-22T03:13:00+00:00,2025-10-22T03:14:00+00:00,,,,,,,,,,,,,,,,,,,,
1761102840,1761102900,2025-10-22T03:14:00+00:00,2025-10-22T03:15:00+00:00,,,,,,,,,,,,,,,,,,,,
1761102900,1761102960,2025-10-22T03:15:00+00:00,2025-10-22T03:16:00+00:00,,,,,,,,,,,,,,,,,,,,
1761102960,1761103020,2025-10-22T03:16:00+00:00,2025-10-22T03:17:00+00:00,,,,,,,,,,,,,,,,,,,,
1761103020,1761103080,2025-10-22T03:17:00+00:00,2025-10-22T03:18:00+00:00,,,,,,,,,,,,,,,,,,,,
1761103080,1761103140,2025-10-22T03:18:00+00:00,2025-10-22T03:19:00+00:00,,,,,,,,,,,,,,,,,,,,
1761103140,1761103200,2025-10-22T03:19:00+00:00,2025-10-22T03:20:00+00:00,,,,,,,,,,,,,,,,,,,,
1761103200,1761103260,2025-10-22T03:20:00+00:00,2025-10-22T03:21:00+00:00,,,,,,,,,,,,,,,,,,,,
1761103260,1761103320,2025-10-22T03:21:00+00:00,2025-10-22T03:22:00+00:00,,,,,,,,,,,,,,,,,,,,
1761103320,1761103380,2025-10-22T03:22:00+00:00,2025-10-22T03:23:00+00:00,,,,,,,,,,,,,,,,,,,,
1761103380,1761103440,2025-10-22T03:23:00+00:00,2025-10-22T03:24:00+00:00,,,,,,,,,,,,,,,,,,,,
1761103440,1761103500,2025-10-22T03:24:00+00:00,2025-10-22T03:25:00+00:00,,,,,,,,,,,,,,,,,,,,
1761103500,1761103560,2025-10-22T03:25:00+00:00,2025-10-22T03:26:00+00:00,,,,,,,,,,,,,,,,,,,,
1761103560,1761103620,2025-10-22T03:26:00+00:00,2025-10-22T03:27:00+00:00,,,,,,,,,,,,,,,,,,,,
